MatchType,DocType,OrdType,OrderCo,OrderNum,DocNum,LineNum,TxnDate,RecvDate,GLDate,SupplierNum,SupplierName,Item2nd,Bulk,GlobalBulk,Qty,QtyLB,QtyKG,Amt,USD,EUR
1,OV,OP,00010,125977,199263,1.0,2021-01-20T00:00:00,2021-01-20T00:00:00,2021-01-20T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,43683.2,43683.2,36068.5412
1,OV,OP,00010,128999,204592,1.0,2021-04-20T00:00:00,2021-04-20T00:00:00,2021-04-20T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,47970.56,47970.56,39835.1944
1,OV,OP,00010,129000,205568,1.0,2021-05-06T00:00:00,2021-05-06T00:00:00,2021-05-06T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,41096.0,41096.0,34102.5992
1,OV,OP,00010,129001,205570,1.0,2021-05-06T00:00:00,2021-05-06T00:00:00,2021-05-06T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,41096.0,41096.0,34102.5992
1,OV,OP,00010,130782,208619,1.0,2021-06-24T00:00:00,2021-06-24T00:00:00,2021-06-24T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42521.6,42521.6,35649.2888
1,OV,OP,00010,130783,208621,1.0,2021-06-24T00:00:00,2021-06-24T00:00:00,2021-06-24T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42521.6,42521.6,35649.2888
1,OV,OP,00010,130814,208623,1.0,2021-06-24T00:00:00,2021-06-24T00:00:00,2021-06-24T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,48611.2,48611.2,40754.6919
1,OV,OP,00010,130815,211685,1.0,2021-08-12T00:00:00,2021-08-12T00:00:00,2021-08-12T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,48611.2,48611.2,41426.6105
1,OV,OP,00010,131461,209869,1.0,2021-07-15T00:00:00,2021-07-15T00:00:00,2021-07-15T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,35953.7339
1,OV,OP,00010,131463,211286,1.0,2021-08-06T00:00:00,2021-08-06T00:00:00,2021-08-06T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,46094.4,46094.4,39197.0829
